Division,Position,Number,Player Name,Status,Quick Stats,yard gain,type,other,stat,thing1,thing,thing3,team,,,
AFC North,WR,80,"Acklin, Jaelon",RES,REC,--,YDS,--,AVG,--,TDS,--,BAL,,,ACT = Active 
AFC North,WR,16,"Adeboyejo, Quincy",ACT,REC,--,YDS,--,AVG,--,TDS,--,BAL,,,RES = Injured reserve 
AFC North,RB,37,"Allen, Javorius",ACT,CAR,153,YDS,591,AVG,3.9,TDS,4,BAL,,,NON = Non football related injured reserve 
AFC North,TE,89,"Andrews, Mark",ACT,REC,--,YDS,--,AVG,--,TDS,--,BAL,,,SUS = Suspended 
AFC North,CB,28,"Averett, Anthony",ACT,TCKL,--,SCK,--,FF,--,INT,--,BAL,,,PUP = Physically unable to perform 
AFC North,LB,49,"Board, Chris",ACT,TCKL,--,SCK,--,FF,--,INT,--,BAL,,,UDF = Unsigned draft pick 
AFC North,LB,54,"Bowser, Tyus",ACT,TCKL,11,SCK,3,FF,0,INT,1,BAL,,,EXE = Exempt 
AFC North,TE,86,"Boyle, Nick",ACT,REC,28,YDS,203,AVG,7.3,TDS,0,BAL,,,
AFC North,C,77,"Bozeman, Bradley",ACT,G,--,GS,--,,,,,BAL,,,
AFC North,LB,53,"Bradley, Bam",ACT,TCKL,0,SCK,--,FF,--,INT,--,BAL,,,
AFC North,WR,13,"Brown, John",ACT,REC,21,YDS,299,AVG,14.2,TDS,3,BAL,,,
AFC North,OT,78,"Brown, Orlando",ACT,G,--,GS,--,,,,,BAL,,,
AFC North,CB,26,"Canady, Maurice",ACT,TCKL,27,SCK,0,FF,0,INT,--,BAL,,,
AFC North,DB,24,"Carr, Brandon",ACT,TCKL,56,SCK,0,FF,0,INT,4,BAL,,,
AFC North,DB,36,"Clark, Chuck",ACT,TCKL,13,SCK,0,FF,0,INT,--,BAL,,,
AFC North,RB,34,"Collins, Alex",ACT,CAR,212,YDS,973,AVG,4.6,TDS,6,BAL,,,
AFC North,LB,51,"Correa, Kamalei",ACT,TCKL,15,SCK,0,FF,0,INT,--,BAL,,,
AFC North,LS,46,"Cox, Morgan",ACT,G,16,GS,0,,,,,BAL,,,
AFC North,WR,15,"Crabtree, Michael",ACT,REC,58,YDS,618,AVG,10.7,TDS,8,BAL,,,
AFC North,OG,60,"Crecelius, Randin",ACT,G,--,GS,--,,,,,BAL,,,
AFC North,DT,94,"Davis, Carl",ACT,TCKL,19,SCK,0.5,FF,0,INT,--,BAL,,,
AFC North,RB,30,"Dixon, Kenneth",ACT,CAR,--,YDS,--,AVG,--,TDS,--,BAL,,,
AFC North,OT,70,"Donnal, Andrew",ACT,G,6,GS,0,,,,,BAL,,,
AFC North,RB,35,"Edwards, Gus",ACT,CAR,--,YDS,--,AVG,--,TDS,--,BAL,,,
AFC North,DB,21,"Elliott, DeShon",ACT,TCKL,--,SCK,--,FF,--,INT,--,BAL,,,
AFC North,OG,71,"Eluemunor, Jermaine",ACT,G,8,GS,2,,,,,BAL,,,
AFC North,OG,63,"Evans, Justin",ACT,G,--,GS,--,,,,,BAL,,,
AFC North,RB,45,"Ezeala, Christopher",ACT,CAR,--,YDS,--,AVG,--,TDS,--,BAL,,,
AFC North,QB,5,"Flacco, Joe",ACT,TDS,18,INT,13,YDS,"3,141",RTG,80.4,BAL,,,
AFC North,WR,84,"Grant, Janarion",ACT,REC,--,YDS,--,AVG,--,TDS,--,BAL,,,
AFC North,QB,3,"Griffin III, Robert",ACT,TDS,--,INT,--,YDS,--,RTG,--,BAL,,,
AFC North,DT,69,"Henry, Willie",ACT,TCKL,33,SCK,3.5,FF,0,INT,--,BAL,,,
AFC North,CB,43,"Hill, Jaylen",ACT,TCKL,3,SCK,0,FF,0,INT,--,BAL,,,
AFC North,CB,29,"Humphrey, Marlon",ACT,TCKL,34,SCK,0,FF,0,INT,2,BAL,,,
AFC North,DE,59,"Humphrey, Myles",ACT,TCKL,--,SCK,--,FF,--,INT,--,BAL,,,
AFC North,TE,81,"Hurst, Hayden",ACT,REC,--,YDS,--,AVG,--,TDS,--,BAL,,,
AFC North,OT,74,"Hurst, James",ACT,G,16,GS,16,,,,,BAL,,,
AFC North,DB,39,"Jackson, Bennett",ACT,TCKL,--,SCK,--,FF,--,INT,--,BAL,,,
AFC North,QB,8,"Jackson, Lamar",ACT,TDS,--,INT,--,YDS,--,RTG,--,BAL,,,
AFC North,CB,38,"Jean-Baptiste, Stanley",ACT,TCKL,1,SCK,0,FF,0,INT,--,BAL,,,
AFC North,DB,23,"Jefferson, Tony",ACT,TCKL,79,SCK,2.5,FF,1,INT,1,BAL,,,
AFC North,LB,58,"Jones, Alvin",ACT,TCKL,--,SCK,--,FF,--,INT,--,BAL,,,
AFC North,LB,99,"Judon, Matt",ACT,TCKL,60,SCK,8,FF,2,INT,--,BAL,,,
AFC North,DE,92,"Kaufusi, Bronson",ACT,TCKL,5,SCK,0,FF,0,INT,--,BAL,,,
AFC North,TE,82,"Keizer, Nick",ACT,REC,--,YDS,--,AVG,--,TDS,--,BAL,,,
AFC North,P,4,"Koch, Sam",ACT,PUNTS,84,AVG,44.8,LNG,67,IN 20,40,BAL,,,
AFC North,DE,91,"LaCouture, Christian",ACT,TCKL,--,SCK,--,FF,--,INT,--,BAL,,,
AFC North,WR,17,"Lasley, Jordan",ACT,REC,--,YDS,--,AVG,--,TDS,--,BAL,,,
AFC North,OG,61,"Lee, Cameron",ACT,G,2,GS,0,,,,,BAL,,,
AFC North,DB,41,"Levine, Anthony",ACT,TCKL,29,SCK,3,FF,0,INT,1,BAL,,,
AFC North,WR,18,"Levrone, Andre",ACT,REC,--,YDS,--,AVG,--,TDS,--,BAL,,,
